"SB21A","C00485110","SB21A.5337.6","SB21A.5337","SB21A","ORG","Tampa Club","","","","","","101 E Kennedy Blvd.","Ste. 4200","Tampa","FL","33602","","","20120206","298.69","","Meeting Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5338","","","ORG","BB&T Financial, FSB","","","","","","PO Box 580340","","Charlotte","NC","28258","","","20120306","1903.45","","Credit Card Payment-See Memo Entries","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5338.6","SB21A.5338","SB21A","ORG","Tampa Club","","","","","","101 E Kennedy Blvd.","Ste. 4200","Tampa","FL","33602","","","20120306","207.99","","Meeting Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5338.8","SB21A.5338","SB21A","ORG","US Airways","","","","","","4000 E Sky Harbor Blvd.","","Phoenix","AZ","85034","","","20120306","1225.40","","Travel Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5339","","","ORG","BB&T Financial, FSB","","","","","","PO Box 580340","","Charlotte","NC","28258","","","20120306","4343.86","","Credit Card Payment-See Memo Entries","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5339.0","SB21A.5339","SB21A","ORG","BTS Tampa","","","","","","2507 S Macdill Ave","","Tampa","FL","33629","","","20120306","213.69","","Meeting Expense","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5339.1","SB21A.5339","SB21A","ORG","Capital Grille","","","","","","2223 North West Blvd","","Tampa","FL","33607","","","20120306","252.21","","Meeting Expense","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5339.2","SB21A.5339","SB21A","ORG","Delta Airlines","","","","","","PO Box 20706","","Atlanta","GA","30320","","","20120306","2950.61","","Travel Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5339.3","SB21A.5339","SB21A","ORG","Grand Hyatt","","","","","","2900 Bayport Drive","","Tampa","FL","33607","","","20120306","439.50","","Travel Expense","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5339.4","SB21A.5339","SB21A","ORG","Sunny's Transportation Service","","","","","","316 Lauderdale Ct","","Kissimmee","FL","34759","","","20120306","347.90","","Transportation Services","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5339.5","SB21A.5339","SB21A","ORG","Tampa Club","","","","","","101 E Kennedy Blvd.","Ste. 4200","Tampa","FL","33602","","","20120306","139.95","","Meeting Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5340","","","ORG","BB&T Financial, FSB","","","","","","PO Box 580340","","Charlotte","NC","28258","","","20120306","6310.96","","Credit Card Payment-See Memo Entries","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5340.0","SB21A.5340","SB21A","ORG","AirTran","","","","","","9955 Blvd","","Orlando","FL","32827","","","20120306","575.60","","Travel Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5340.1","SB21A.5340","SB21A","ORG","American Airlines","","","","","","PO Box 619616","","DFW Airport","TX","75261","","","20120306","552.60","","Travel Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5340.2","SB21A.5340","SB21A","ORG","Delta Airlines","","","","","","PO Box 20706","","Atlanta","GA","30320","","","20120306","1055.10","","Travel Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5340.4","SB21A.5340","SB21A","ORG","United Airlines","","","","","","77 Wacker Drive","","Chicago","IL","60601","","","20120306","1250.10","","Travel Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5340.5","SB21A.5340","SB21A","ORG","US Airways","","","","","","4000 E Sky Harbor Blvd.","","Phoenix","AZ","85034","","","20120306","2843.50","","Travel Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5341","","","ORG","BB&T Financial, FSB","","","","","","PO Box 580340","","Charlotte","NC","28258","","","20120326","2808.21","","Credit Card Payment-See Memo Entries","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5341.0","SB21A.5341","SB21A","ORG","Bailey's","","","","","","238 E Davis Blvd.","","Tampa","FL","33606","","","20120326","90.28","","Meeting Expense","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5341.5","SB21A.5341","SB21A","ORG","Marriott-Waterside","","","","","","700 S Florida Avenue","","Tampa","FL","33602","","","20120326","311.49","","Travel Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5341.7","SB21A.5341","SB21A","ORG","Tampa Club","","","","","","101 E Kennedy Blvd.","Ste. 4200","Tampa","FL","33602","","","20120326","328.66","","Meeting Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5341.8","SB21A.5341","SB21A","ORG","US Airways","","","","","","4000 E Sky Harbor Blvd.","","Phoenix","AZ","85034","","","20120326","1717.00","","Travel Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5342","","","ORG","BB&T Financial, FSB","","","","","","PO Box 580340","","Charlotte","NC","28258","","","20120326","6873.25","","Credit Card Payment-See Memo Entries","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5342.0","SB21A.5342","SB21A","ORG","Cafe Dufrain","","","","","","707 Harbour Post Drive","","Tampa","FL","33602","","","20120326","240.58","","Meeting Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5342.1","SB21A.5342","SB21A","ORG","Delta Airlines","","","","","","PO Box 20706","","Atlanta","GA","30320","","","20120326","4564.90","","Travel Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5342.3","SB21A.5342","SB21A","ORG","Hertz","","","","","","PO Box 26120","","Oklahoma City","OK","73126","","","20120326","1019.57","","Travel Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5342.4","SB21A.5342","SB21A","ORG","Malio's","","","","","","400 N Ashley Drive","#310","Tampa","FL","33602","","","20120326","237.95","","Meeting Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5342.5","SB21A.5342","SB21A","ORG","Side Bern's","","","","","","1208 S Howard Ave","","Tampa","FL","33605","","","20120326","237.95","","Meeting Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5342.6","SB21A.5342","SB21A","ORG","Tampa Club","","","","","","101 E Kennedy Blvd.","Ste. 4200","Tampa","FL","33602","","","20120326","299.14","","Meeting Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5343","","","ORG","BB&T Financial, FSB","","","","","","PO Box 580340","","Charlotte","NC","28258","","","20120326","10703.21","","Credit Card Payment-See Memo Entries","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5343.0","SB21A.5343","SB21A","ORG","AirTran","","","","","","9955 Blvd","","Orlando","FL","32827","","","20120326","369.60","","Travel Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5343.1","SB21A.5343","SB21A","ORG","American Airlines","","","","","","PO Box 619616","","DFW Airport","TX","75261","","","20120326","308.80","","Travel Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5343.3","SB21A.5343","SB21A","ORG","Delta Airlines","","","","","","PO Box 20706","","Atlanta","GA","30320","","","20120326","927.30","","Travel Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5343.6","SB21A.5343","SB21A","ORG","Marriott-Waterside","","","","","","700 S Florida Avenue","","Tampa","FL","33602","","","20120326","445.76","","Travel Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5343.8","SB21A.5343","SB21A","ORG","Pane Rustica","","","","","","3225 S Machill Ave","","Tampa","FL","33629","","","20120326","604.14","","Meeting Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5343.9","SB21A.5343","SB21A","ORG","Party City","","","","","","418 N Dale Mabry Hwy","","Tampa","FL","33609","","","20120326","504.00","","Meeting Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5343.10","SB21A.5343","SB21A","ORG","Southwest Airlines","","","","","","PO Box 36647","","Dallas","TX","75235","","","20120326","626.10","","Travel Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5343.11","SB21A.5343","SB21A","ORG","Total Wine & More","","","","","","1720 N Dale Mabry Hwy","","Tampa","FL","33607","","","20120326","231.31","","Event Supplies","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5343.12","SB21A.5343","SB21A","ORG","United Airlines","","","","","","77 Wacker Drive","","Chicago","IL","60601","","","20120326","916.80","","Travel Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5343.13","SB21A.5343","SB21A","ORG","US Airways","","","","","","4000 E Sky Harbor Blvd.","","Phoenix","AZ","85034","","","20120326","4296.40","","Travel Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5343.14","SB21A.5343","SB21A","ORG","USPS","","","","","","401 N. Ashley Dr","","Tampa","FL","33602","","","20120326","393.00","","Postage","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5306","","","IND","","Boyd","Margaret","R.","","","PO Box 1809","","Tampa","FL","33601","","","20120113","3015.83","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5396","","","IND","","Boyd","Margaret","R.","","","PO Box 1809","","Tampa","FL","33601","","","20120131","3015.84","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5397","","","IND","","Boyd","Margaret","R.","","","PO Box 1809","","Tampa","FL","33601","","","20120212","55.51","","Reimbursement-Travel Expenses","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5398","","","IND","","Boyd","Margaret","R.","","","PO Box 1809","","Tampa","FL","33601","","","20120215","3015.83","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5399","","","IND","","Boyd","Margaret","R.","","","PO Box 1809","","Tampa","FL","33601","","","20120229","3015.84","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5400","","","IND","","Boyd","Margaret","R.","","","PO Box 1809","","Tampa","FL","33601","","","20120315","3015.83","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5401","","","IND","","Boyd","Margaret","R.","","","PO Box 1809","","Tampa","FL","33601","","","20120330","3015.84","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5071","","","IND","","Boylston","William","D","","","PO Box 1809","","Tampa","FL","33601","","","20120330","1540.89","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5152","","","IND","","Cahill","Shawn","D.","","","PO Box 1809","","Tampa","FL","33601","","","20120113","3141.78","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5153","","","IND","","Cahill","Shawn","D.","","","PO Box 1809","","Tampa","FL","33601","","","20120131","3141.78","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5154","","","IND","","Cahill","Shawn","D.","","","PO Box 1809","","Tampa","FL","33601","","","20120215","3141.79","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5155","","","IND","","Cahill","Shawn","D.","","","PO Box 1809","","Tampa","FL","33601","","","20120229","3141.79","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5156","","","IND","","Cahill","Shawn","D.","","","PO Box 1809","","Tampa","FL","33601","","","20120315","3141.78","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5157","","","IND","","Cahill","Shawn","D.","","","PO Box 1809","","Tampa","FL","33601","","","20120330","3141.78","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5043","","","ORG","Campaign Solutions//The Donatelli Group","","","","","","117 N Saint Asaph Street","","Alexandria","VA","22314","","","20120124","305.85","","Website","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5044","","","ORG","Campaign Solutions//The Donatelli Group","","","","","","117 N Saint Asaph Street","","Alexandria","VA","22314","","","20120227","306.03","","Website","","","","","","","","","","","","","","","","","","","","",""
